Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
104.37.135.145:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,493
67.201.59.70:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,523
107.152.98.5:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,526
142.54.226.214:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,586
142.54.228.193:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,571
72.37.216.68:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,543
68.71.241.33:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,591
142.54.229.249:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,484
67.201.39.14:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,514
192.252.214.17:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,976
72.207.109.5:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1066
184.181.178.33:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1061
98.190.239.3:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1061
98.182.147.97:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1048
72.206.74.126:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1053
72.223.188.92:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1046
98.178.72.30:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1075
72.223.188.67:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1046
72.207.33.64:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1041
98.191.0.47:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1048
72.207.113.97:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1051
184.182.240.211:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1992
47.57.242.244:5080,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,9263
136.228.163.150:5678,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,3823
83.218.186.22:5678,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2688
216.68.128.121:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4189
49.0.87.62:1080,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1556
103.61.116.138:5678,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4563
184.182.240.12:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,6337
103.184.67.37:1080,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1488
103.157.116.179:10810,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2607
213.6.68.210:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2592
80.78.73.120:65530,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4641
5.23.104.251:1080,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1705
210.16.86.105:5678,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,8844
187.86.153.254:30660,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1684
103.168.246.3:4153,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4875
122.102.41.226:4153,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,3523
185.98.208.98:28000,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,8958
199.66.183.226:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,934
175.139.201.193:4153,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,5738
159.192.142.24:5678,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2746
103.149.75.82:1080,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2616
190.57.131.158:1080,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,6334
89.169.168.25:6101,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4342
102.132.17.30:1080,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2034
45.61.129.165:9050,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2249
202.79.47.159:10800,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,9168
